chr_name	start	end	val	color
chr5	65000006	70000001	0.4	blue
chr5	70000006	75000001	0.4	blue
chr5	75000006	80000001	0.41	blue
chr5	80000006	85000001	0.37	blue
chr5	85000006	90000001	0.36	blue
chr5	90000006	95000001	0.36	blue
chr5	95000006	100000001	0.37	blue
chr5	100000006	105000001	0.35	blue
chr5	105000006	110000001	0.37	blue
chr5	110000006	115000001	0.39	blue
chr5	115000006	120000001	0.37	blue
chr5	120000006	125000001	0.38	blue
chr5	125000006	130000001	0.38	blue
chr5	130000006	135000001	0.44	blue
chr5	135000006	140000001	0.43	blue
chr5	140000006	145000001	0.41	blue
chr5	145000006	150000001	0.42	blue
chr5	150000006	155000001	0.42	blue
chr5	155000006	160000001	0.41	blue
chr5	160000006	165000001	0.37	blue
chr5	165000006	170000001	0.41	blue
chr5	170000006	175000001	0.44	blue
chr5	175000006	180000001	0.48	blue
chr6	60001	5000001	0.43	blue
chr6	5000006	10000001	0.41	blue
chr6	10000006	15000001	0.42	blue
chr6	15000006	20000001	0.41	blue
chr6	20000006	25000001	0.39	blue
chr6	25000006	30000001	0.41	blue
chr6	30000006	35000001	0.47	blue
chr6	35000006	40000001	0.44	blue
chr6	40000006	45000001	0.46	blue
chr6	45000006	50000001	0.38	blue
chr6	50000006	55000001	0.39	blue
chr6	55000006	61880166	0.2	blue
chr6	61880171	65000001	0.36	blue
chr6	65000006	70000001	0.35	blue
chr6	70000006	75000001	0.38	blue
chr6	75000006	80000001	0.37	blue
chr6	80000006	85000001	0.37	blue
chr6	85000006	90000001	0.39	blue
chr6	90000006	95000001	0.37	blue
chr6	95000006	100000001	0.35	blue
chr6	100000006	105000001	0.36	blue
chr6	105000006	110000001	0.41	blue
chr6	110000006	115000001	0.39	blue
chr6	115000006	120000001	0.38	blue
chr6	120000006	125000001	0.36	blue
chr6	125000006	130000001	0.37	blue
chr6	130000006	135000001	0.39	blue
chr6	135000006	140000001	0.4	blue
chr6	140000006	145000001	0.37	blue
chr6	145000006	150000001	0.39	blue
chr6	150000006	155000001	0.4	blue
chr6	155000006	160000001	0.41	blue
chr6	160000006	165000001	0.41	blue
chr6	165000006	170000001	0.43	blue
chr7	10001	5000001	0.5	blue
chr7	5000006	10000001	0.42	blue
chr7	10000006	15000001	0.36	blue
chr7	15000006	20000001	0.37	blue
chr7	20000006	25000001	0.4	blue
chr7	25000006	30000001	0.41	blue
chr7	30000006	35000001	0.41	blue
chr7	35000006	40000001	0.4	blue
chr7	40000006	45000001	0.42	blue
chr7	45000006	50000001	0.41	blue
chr7	50000006	55000001	0.39	blue
chr7	55000006	61054331	0.22	blue
chr7	61054336	65000001	0.38	blue
chr7	65000006	70000001	0.43	blue
chr7	70000006	75000001	0.46	blue
chr7	75000006	80000001	0.41	blue
chr7	80000006	85000001	0.35	blue
chr7	85000006	90000001	0.36	blue
chr7	90000006	95000001	0.38	blue
chr7	95000006	100000001	0.43	blue
chr7	100000006	105000001	0.44	blue
chr7	105000006	110000001	0.39	blue
chr7	110000006	115000001	0.37	blue
chr7	115000006	120000001	0.36	blue
chr7	120000006	125000001	0.37	blue
chr7	125000006	130000001	0.41	blue
chr7	130000006	135000001	0.41	blue
chr7	135000006	140000001	0.41	blue
chr7	140000006	145000001	0.4	blue
chr7	145000006	150000001	0.4	blue
chr7	150000006	155000001	0.44	blue
chrX	60001	5000001	0.42	blue
chrX	5000006	10000001	0.4	blue
chrX	10000006	15000001	0.39	blue
chrX	15000006	20000001	0.41	blue
chrX	20000006	25000001	0.4	blue
chrX	25000006	30000001	0.37	blue
chrX	30000006	35000001	0.37	blue
chrX	35000006	40000001	0.39	blue
chrX	40000006	45000001	0.41	blue
chrX	45000006	50024171	0.42	blue
chrX	50024176	55000001	0.41	blue
chrX	55000006	61682011	0.21	blue
chrX	61682016	65000001	0.39	blue
chrX	65000006	70000001	0.41	blue
chrX	70000006	75000001	0.41	blue
chrX	75000006	80000001	0.38	blue
chrX	80000006	85000001	0.36	blue
chrX	85000006	90000001	0.36	blue
chrX	90000006	95000001	0.36	blue
chrX	95000006	100000001	0.37	blue
chrX	100000006	105000001	0.4	blue
chrX	105000006	110000001	0.39	blue
chrX	110000006	115000001	0.38	blue
chrX	115000006	120000001	0.4	blue
chrX	120000006	125000001	0.37	blue
chrX	125000006	130000001	0.38	blue
chrX	130000006	135000001	0.4	blue
chrX	135000006	140000001	0.4	blue
chrX	140000006	145000001	0.37	blue
chrX	145000006	150000001	0.39	blue
chrX	150000006	155000001	0.44	blue
chr8	10001	5000001	0.42	blue
chr8	5000006	10000001	0.42	blue
chr8	10000006	15000001	0.41	blue
chr8	15000006	20000001	0.39	blue
chr8	20000006	25000001	0.44	blue
chr8	25000006	30000001	0.43	blue
chr8	30000006	35000001	0.39	blue
chr8	35000006	40000001	0.41	blue
chr8	40000006	46838886	0.24	blue
chr8	46838891	50000001	0.43	blue
chr8	50000006	55000001	0.38	blue
chr8	55000006	60000001	0.4	blue
chr8	60000006	65000001	0.38	blue
chr8	65000006	70000001	0.39	blue
chr8	70000006	75000001	0.39	blue
chr8	75000006	80000001	0.36	blue
chr8	80000006	85000001	0.37	blue
chr8	85000006	90000001	0.36	blue
chr8	90000006	95000001	0.38	blue
chr8	95000006	100000001	0.41	blue
chr8	100000006	105000001	0.4	blue
chr8	105000006	110000001	0.37	blue
chr8	110000006	115000001	0.35	blue
chr8	115000006	120000001	0.38	blue
chr8	120000006	125000001	0.4	blue
chr8	125000006	130000001	0.41	blue
chr8	130000006	135000001	0.42	blue
chr8	135000006	140000001	0.41	blue
chr8	140000006	145000001	0.5	blue
chr9	10001	5000001	0.4	blue
chr9	5000006	10000001	0.38	blue
chr9	10000006	15000001	0.36	blue
chr9	15000006	20000001	0.4	blue
chr9	20000006	25000001	0.37	blue
chr9	25000006	30000001	0.37	blue
chr9	30000006	35000001	0.4	blue
chr9	35000006	40024796	0.42	blue
chr9	40024801	45000001	0.35	blue
chr9	45000006	65467676	0.04	blue
chr9	65467696	70000001	0.31	blue
chr9	70000006	75000001	0.37	blue
chr9	75000006	80000001	0.38	blue
chr9	80000006	85000001	0.39	blue
chr9	85000006	90000001	0.4	blue
chr9	90000006	95000001	0.41	blue
chr9	95000006	100000001	0.44	blue
chr9	100000006	105000001	0.41	blue
chr9	105000006	110000001	0.38	blue
chr9	110000006	115000001	0.41	blue
chr9	115000006	120000001	0.43	blue
chr9	120000006	125000001	0.42	blue
chr9	125000006	130000001	0.44	blue
chr9	130000006	135000001	0.49	blue
chr9	135000006	140000001	0.53	blue
chr10	60001	5000001	0.43	blue
chr10	5000006	10000001	0.41	blue
chr10	10000006	15000001	0.43	blue
chr10	15000006	20000001	0.39	blue
chr10	20000006	25000001	0.4	blue
chr10	25000006	30000001	0.4	blue
chr10	30000006	35000001	0.41	blue
chr10	35000006	42354936	0.23	blue
chr10	42354941	45000001	0.43	blue
chr10	45000006	50000001	0.39	blue
chr10	50000006	55000001	0.39	blue
chr10	55000006	60000001	0.35	blue
chr10	60000006	65000001	0.39	blue
chr10	65000006	70000001	0.37	blue
chr10	70000006	75000001	0.46	blue
chr10	75000006	80000001	0.43	blue
chr10	80000006	85000001	0.42	blue
chr10	85000006	90000001	0.41	blue
chr10	90000006	95000001	0.39	blue
chr10	95000006	100000001	0.43	blue
chr10	100000006	105000001	0.44	blue
chr10	105000006	110000001	0.4	blue
chr10	110000006	115000001	0.41	blue
chr10	115000006	120000001	0.41	blue
chr10	120000006	125000001	0.44	blue
chr10	125000006	130000001	0.43	blue
chr10	130000006	135000001	0.47	blue
chr11	60001	5000001	0.5	blue
chr11	5000006	10000001	0.41	blue
chr11	10000006	15000001	0.42	blue
chr11	15000006	20000001	0.42	blue
chr11	20000006	25000001	0.37	blue
chr11	25000006	30000001	0.37	blue
chr11	30000006	35000001	0.4	blue
chr11	35000006	40000001	0.38	blue
chr11	40000006	45000001	0.4	blue
chr11	45000006	50000001	0.43	blue
chr11	50000006	55000001	0.12	blue
chr11	55000006	60000001	0.4	blue
chr11	60000006	65000001	0.48	blue
chr11	65000006	70000001	0.49	blue
chr11	70000006	75000001	0.46	blue
chr11	75000006	80000001	0.43	blue
chr11	80000006	85000001	0.37	blue
chr11	85000006	90000001	0.38	blue
chr11	90000006	95000001	0.39	blue
chr11	95000006	100000001	0.35	blue
chr11	100000006	105000001	0.38	blue
chr11	105000006	110000001	0.38	blue
chr11	110000006	115000001	0.42	blue
chr11	115000006	120000001	0.46	blue
chr11	120000006	125000001	0.42	blue
chr11	125000006	130000001	0.43	blue
chr12	60001	5000001	0.45	blue
chr12	5000006	10000001	0.44	blue
chr12	10000006	15000001	0.4	blue
chr12	15000006	20000001	0.37	blue
chr12	20000006	25000001	0.37	blue
chr12	25000006	30000001	0.39	blue
chr12	30000006	37856691	0.25	blue
chr12	37856696	40000001	0.37	blue
chr12	40000006	45000001	0.37	blue
chr12	45000006	50000001	0.41	blue
chr12	50000006	55000001	0.47	blue
chr12	55000006	60000001	0.42	blue
chr12	60000006	65000001	0.37	blue
chr12	65000006	70000001	0.4	blue
chr12	70000006	75000001	0.37	blue
chr12	75000006	80000001	0.37	blue
chr12	80000006	85000001	0.36	blue
chr12	85000006	90000001	0.36	blue
chr12	90000006	95000001	0.39	blue
chr12	95000006	100000001	0.4	blue
chr12	100000006	105000001	0.4	blue
chr12	105000006	110000001	0.43	blue
chr12	110000006	115000001	0.46	blue
chr12	115000006	120000001	0.44	blue
chr12	120000006	125000001	0.47	blue
chr12	125000006	130000001	0.44	blue
chr13	19020016	20000001	0.42	blue
chr13	20000006	25000001	0.42	blue
chr13	25000006	30000001	0.42	blue
chr13	30000006	35000001	0.41	blue
chr13	35000006	40000001	0.38	blue
chr13	40000006	45000001	0.4	blue
chr13	45000006	50000001	0.4	blue
chr13	50000006	55000001	0.4	blue
chr13	55000006	60000001	0.35	blue
chr13	60000006	65000001	0.35	blue
chr13	65000006	70000001	0.34	blue
chr13	70000006	75000001	0.36	blue
chr13	75000006	80000001	0.38	blue
chr13	80000006	85000001	0.35	blue
chr13	85000006	90000001	0.33	blue
chr13	90000006	95000001	0.36	blue
chr13	95000006	100000001	0.41	blue
chr13	100000006	105000001	0.39	blue
chr13	105000006	110000001	0.38	blue
chr13	110000006	115000001	0.44	blue
chr14	19000016	20000001	0.41	blue
chr14	20000006	25000001	0.43	blue
chr14	25000006	30000001	0.36	blue
chr14	30000006	35000001	0.39	blue
chr14	35000006	40000001	0.39	blue
chr14	40000006	45000001	0.35	blue
chr14	45000006	50000001	0.36	blue
chr14	50000006	55000001	0.4	blue
chr14	55000006	60000001	0.4	blue
chr14	60000006	65000001	0.39	blue
chr14	65000006	70000001	0.42	blue
chr14	70000006	75000001	0.43	blue
chr14	75000006	80000001	0.44	blue
chr14	80000006	85000001	0.37	blue
chr14	85000006	90000001	0.39	blue
chr14	90000006	95000001	0.45	blue
chr14	95000006	100000001	0.44	blue
chr14	100000006	105000001	0.49	blue
chr15	20000021	25000001	0.36	blue
chr15	25000006	30000001	0.42	blue
chr15	30000006	35000001	0.42	blue
chr15	35000006	40000001	0.38	blue
chr15	40000006	45000001	0.44	blue
chr15	45000006	50000001	0.39	blue
chr15	50000006	55000001	0.4	blue
chr15	55000006	60000001	0.4	blue
chr15	60000006	65000001	0.42	blue
chr15	65000006	70000001	0.45	blue
chr15	70000006	75000001	0.44	blue
chr15	75000006	80000001	0.45	blue
chr15	80000006	85034471	0.42	blue
chr15	85034476	90000001	0.43	blue
chr15	90000006	95000001	0.44	blue
chr15	95000006	100000001	0.4	blue
chr16	60001	5000001	0.54	blue
chr16	5000006	10000001	0.43	blue
chr16	10000006	15000001	0.45	blue
chr16	15000006	20000001	0.45	blue
chr16	20000006	25000001	0.44	blue
chr16	25000006	30000001	0.46	blue
chr16	30000006	35000001	0.43	blue
chr16	35000006	46385801	0.01	blue
chr16	46385811	50000001	0.43	blue
chr16	50000006	55000001	0.42	blue
chr16	55000006	60000001	0.44	blue
chr16	60000006	65000001	0.37	blue
chr16	65000006	70000001	0.46	blue
chr16	70000006	75000001	0.43	blue
chr16	75000006	80000001	0.41	blue
chr16	80000006	85000001	0.45	blue
chr16	85000006	90000001	0.52	blue
chr17	1	5000001	0.48	blue
chr17	5000006	10000001	0.47	blue
chr17	10000006	15000001	0.42	blue
chr17	15000006	20000001	0.47	blue
chr17	20000006	25263006	0.18	blue
chr17	25263011	30000001	0.45	blue
chr17	30000006	35000001	0.44	blue
chr17	35000006	40000001	0.47	blue
chr17	40000006	45000001	0.48	blue
chr17	45000006	50000001	0.46	blue
chr17	50000006	55000001	0.38	blue
chr17	55000006	60000001	0.43	blue
chr17	60000006	65000001	0.43	blue
chr17	65000006	70000001	0.4	blue
chr17	70000006	75000001	0.5	blue
chr17	75000006	80000001	0.52	blue
chr18	10001	5000001	0.39	blue
chr18	5000006	10000001	0.41	blue
chr18	10000006	15000001	0.43	blue
chr18	15000006	20000001	0.15	blue
chr18	20000006	25000001	0.41	blue
chr18	25000006	30000001	0.37	blue
chr18	30000006	35000001	0.39	blue
chr18	35000006	40000001	0.38	blue
chr18	40000006	45000001	0.4	blue
chr18	45000006	50000001	0.43	blue
chr18	50000006	55000001	0.37	blue
chr18	55000006	60000001	0.41	blue
chr18	60000006	65000001	0.37	blue
chr18	65000006	70000001	0.36	blue
chr18	70000006	75000001	0.41	blue
chr20	60001	5000001	0.45	blue
chr20	5000006	10000001	0.39	blue
chr20	10000006	15000001	0.39	blue
chr20	15000006	20000001	0.42	blue
chr20	20000006	25000001	0.43	blue
chr20	25000006	30000001	0.15	blue
chr20	30000006	35000001	0.46	blue
chr20	35000006	40000001	0.45	blue
chr20	40000006	45000001	0.45	blue
chr20	45000006	50000001	0.47	blue
chr20	50000006	55000001	0.41	blue
chr20	55000006	60000001	0.46	blue
chrY	10001	5000001	0.4	blue
chrY	5000006	10000001	0.39	blue
chrY	10000006	15000001	0.16	blue
chrY	15000006	20000001	0.39	blue
chrY	20000006	25000001	0.38	blue
chrY	25000006	58819361	0.04	blue
chr19	60001	5000001	0.56	blue
chr19	5000006	10000001	0.49	blue
chr19	10000006	15000001	0.5	blue
chr19	15000006	20000001	0.51	blue
chr19	20000006	27731781	0.24	blue
chr19	27731786	30000001	0.42	blue
chr19	30000006	35000001	0.46	blue
chr19	35000006	40000001	0.48	blue
chr19	40000006	45000001	0.47	blue
chr19	45000006	50000001	0.51	blue
chr19	50000006	55000001	0.48	blue
chr22	16050016	20000001	0.44	blue
chr22	20000006	25000001	0.48	blue
chr22	25000006	30000001	0.46	blue
chr22	30000006	35000001	0.45	blue
chr22	35000006	40000001	0.49	blue
chr22	40000006	45000001	0.49	blue
chr22	45000006	50000001	0.5	blue
chr21	9411196	10000001	0.34	blue
chr21	10000006	15000001	0.12	blue
chr21	15000006	20000001	0.38	blue
chr21	20000006	25000001	0.35	blue
chr21	25000006	30000001	0.37	blue
chr21	30000006	35000001	0.41	blue
chr21	35000006	40000001	0.43	blue
chr21	40000006	45000001	0.45	blue
